episode/count,episode/length,episode/return,eval/max_return,eval/mean_length,eval/mean_return,eval/min_return,eval/std_return,eval/step,loss/entropy,loss/policy,loss/value,step,time/elapsed_sec,time/fps
3177,79.41666666666667,377.9457223803049,,,,,,,6.592649459838867,-0.08233353185933083,385.37552642822266,154000,149.068457365036,1033.0824020194138
3190,75.38461538461539,347.7213530926298,,,,,,,,,,155000,149.99548149108887,1033.3644617768598
3203,77.0,344.48644336138955,,,,,,,6.583641505241394,-0.08322531138546765,403.70244827270506,156000,151.1341037750244,1032.1958850016995
3216,76.76923076923077,370.75105930439054,,,,,,,,,,157000,152.06153416633606,1032.4767592326268
3230,75.5,354.13054486295533,,,,,,,6.576134037971497,-0.08220094521529972,381.60194396972656,158000,153.30338215827942,1030.6361006234781
3243,78.38461538461539,367.2296703843021,,,,,,,,,,159000,154.22180581092834,1030.9826108178866
3255,82.16666666666667,380.78790549810236,,,,,,,6.564401459693909,-0.08091140027390793,379.97029266357424,160000,155.52670311927795,1028.7622433383117
3268,78.38461538461539,349.31585537442703,,,,,,,,,,161000,156.44794297218323,1029.0963047601472
3280,82.33333333333333,394.5591174729043,,,,,,,6.558977127075195,-0.07927321426104754,346.07043533325196,162000,157.57692098617554,1028.069332654447
3293,76.0,351.91498783335123,,,,,,,,,,163000,158.5072090625763,1028.3443949584023
3306,75.6923076923077,369.46912705460323,,,,,,,6.5563798427581785,-0.08721015194896609,357.5308494567871,164000,159.6535918712616,1027.2239921306823
3318,86.0,391.9624738347724,,,,,,,,,,165000,160.61566424369812,1027.2970620701703
3330,83.83333333333333,431.2300760050125,,,,,,,6.547174334526062,-0.08291971080470831,377.5666198730469,166000,161.7099108695984,1026.5295374125901
3342,80.33333333333333,386.7211882845623,,,,,,,,,,167000,162.32124042510986,1028.824074795367
3354,83.66666666666667,415.98374093075313,,,,,,,6.535060679912567,-0.08197043478721752,439.24947052001954,168000,163.22549724578857,1029.2509616130737
3366,83.75,414.8682149252365,,,,,,,,,,169000,164.16029262542725,1029.4815956841387
3379,78.53846153846153,395.4811418618334,,,,,,,6.526502561569214,-0.0803997681417968,406.93523025512695,170000,165.4144651889801,1027.7214861818832
3391,78.33333333333333,397.81308726401625,,,,,,,,,,171000,166.34374952316284,1027.9917369314126
3404,78.76923076923077,378.8693851669199,,,,,,,,,,172000,167.26968431472778,1028.2795756125888
3417,77.84615384615384,357.50492018373467,,,,,,,6.522608864307403,-0.08360375695629045,398.44330673217775,173000,168.42106318473816,1027.1874356370693
3429,80.91666666666667,418.06202879476774,,,,,,,,,,174000,169.34734225273132,1027.4740523552186
3442,76.23076923076923,404.92139819233904,,,,,,,6.515133106708527,-0.07895668090786785,421.32333755493164,175000,170.49458527565002,1026.4255590115415
3456,74.5,384.7519430987413,,,,,,,,,,176000,171.4292755126953,1026.6624500023988
3468,81.16666666666667,432.46704562764427,,,,,,,6.5097298383712765,-0.0821204376174137,371.7777488708496,177000,172.57597422599792,1025.6352356916645
3481,78.38461538461539,378.76292550614676,,,,,,,,,,178000,173.5659782886505,1025.546606282341
3494,78.38461538461539,351.5030981485013,,,,,,,6.502065634727478,-0.0840008057653904,360.0841926574707,179000,174.70419931411743,1024.588995014131
3506,78.66666666666667,397.8012625981717,,,,,,,,,,180000,175.72796964645386,1024.310474662292
3519,80.38461538461539,443.91610992479195,,,,,,,6.49052985906601,-0.08166054994799196,501.4931037902832,181000,176.86415767669678,1023.3842875664126
3531,80.91666666666667,405.0089685490034,,,,,,,,,,182000,177.7946593761444,1023.652794963648
3543,83.83333333333333,414.283597232767,,,,,,,6.48344224691391,-0.08267343173502013,441.8812934875488,183000,178.93772959709167,1022.7021456685251
3554,89.36363636363636,450.7418003711536,,,,,,,,,,184000,179.86494398117065,1022.98978292992
3567,79.6923076923077,454.01853046384383,,,,,,,6.473448574542999,-0.08024730772012845,347.9384140014648,185000,181.00989866256714,1022.0435532361194
3580,75.15384615384616,369.3789379793373,,,,,,,,,,186000,181.95523118972778,1022.22947251269
3592,82.08333333333333,419.47930809020954,,,,,,,6.465370333194732,-0.08398016808205284,343.78149490356446,187000,183.19990158081055,1020.7429064448116
3604,82.83333333333333,447.9576213226212,,,,,,,,,,188000,183.82027530670166,1022.7381048490137
